Subject	Predicate	Object
pspA	is homologous to	pspA(Salmonella)
pspC	is homologous to	pspC(Salmonella)
mnaT	is homologous to	mnaT(Salmonella)
sad	is homologous to	sad(Salmonella)
comR	is homologous to	comR(Salmonella)
holB	is homologous to	holB(Salmonella)
chbC	is homologous to	chbC(Salmonella)
purK	is homologous to	purK(Salmonella)
kdpD	is homologous to	kdpD(Salmonella)
yqhA	is homologous to	yqhA(Salmonella)
obgE	is homologous to	obgE(Salmonella)
srlA	is homologous to	srlA(Salmonella)
nuoF	is homologous to	nuoF(Salmonella)
amiA	is homologous to	amiA(Salmonella)
hemF	is homologous to	hemF(Salmonella)
bfr	is homologous to	bfr(Salmonella)
setB	is homologous to	setB(Salmonella)
wzc	is homologous to	wzc(Salmonella)
polA	is homologous to	polA(Salmonella)
rplE	is homologous to	rplE(Salmonella)
fetB	is homologous to	fetB(Salmonella)
fcl	is homologous to	fcl(Salmonella)
cysH	is homologous to	cysH(Salmonella)
katG	is homologous to	katG(Salmonella)
proW	is homologous to	proW(Salmonella)
fruB	is homologous to	fruB(Salmonella)
der	is homologous to	der(Salmonella)
phr	is homologous to	phr(Salmonella)
manA	is homologous to	manA(Salmonella)
putA	is homologous to	putA(Salmonella)
putP	is homologous to	putP(Salmonella)
nei	is homologous to	nei(Salmonella)
pabB	is homologous to	pabB(Salmonella)
bioB	is homologous to	bioB(Salmonella)
bioA	is homologous to	bioA(Salmonella)
radA	is homologous to	radA(Salmonella)
argS	is homologous to	argS(Salmonella)
mrdA	is homologous to	mrdA(Salmonella)
rhtA	is homologous to	rhtA(Salmonella)
ampD	is homologous to	ampD(Salmonella)
napH	is homologous to	napH(Salmonella)
amn	is homologous to	amn(Salmonella)
iap	is homologous to	iap(Salmonella)
rlmN	is homologous to	rlmN(Salmonella)
pheA	is homologous to	pheA(Salmonella)
agp	is homologous to	agp(Salmonella)
kduD	is homologous to	kduD(Salmonella)
dsbB	is homologous to	dsbB(Salmonella)
hpt	is homologous to	hpt(Salmonella)
yicL	is homologous to	yicL(Salmonella)
yjjV	is homologous to	yjjV(Salmonella)
btsT	is homologous to	btsT(Salmonella)
lldD	is homologous to	lldD(Salmonella)
dam	is homologous to	dam(Salmonella)
phoQ	is homologous to	phoQ(Salmonella)
rplD	is homologous to	rplD(Salmonella)
uraA	is homologous to	uraA(Salmonella)
wcaF	is homologous to	wcaF(Salmonella)
gmd	is homologous to	gmd(Salmonella)
ampE	is homologous to	ampE(Salmonella)
rseB	is homologous to	rseB(Salmonella)
katE	is homologous to	katE(Salmonella)
waaG	is homologous to	waaG(Salmonella)
wcaA	is homologous to	wcaA(Salmonella)
bipA	is homologous to	bipA(Salmonella)
dgcC	is homologous to	dgcC(Salmonella)
fic	is homologous to	fic(Salmonella)
metF	is homologous to	metF(Salmonella)
coaA	is homologous to	coaA(Salmonella)
aceK	is homologous to	aceK(Salmonella)
aceA	is homologous to	aceA(Salmonella)
lplA	is homologous to	lplA(Salmonella)
fadB	is homologous to	fadB(Salmonella)
wecE	is homologous to	wecE(Salmonella)
rep	is homologous to	rep(Salmonella)
dctA	is homologous to	dctA(Salmonella)
envZ	is homologous to	envZ(Salmonella)
pyrE	is homologous to	pyrE(Salmonella)
rpsN	is homologous to	rpsN(Salmonella)
rpsF	is homologous to	rpsF(Salmonella)
yoaE	is homologous to	yoaE(Salmonella)
rnb	is homologous to	rnb(Salmonella)
fdnG	is homologous to	fdnG(Salmonella)
chbG	is homologous to	chbG(Salmonella)
nadE	is homologous to	nadE(Salmonella)
uup	is homologous to	uup(Salmonella)
ansA	is homologous to	ansA(Salmonella)
purB	is homologous to	purB(Salmonella)
lpxK	is homologous to	lpxK(Salmonella)
clpA	is homologous to	clpA(Salmonella)
ybiW	is homologous to	ybiW(Salmonella)
fepB	is homologous to	fepB(Salmonella)
modA	is homologous to	modA(Salmonella)
ybdK	is homologous to	ybdK(Salmonella)
cydA	is homologous to	cydA(Salmonella)
yfdH	is homologous to	yfdH(Salmonella)
ybcF	is homologous to	ybcF(Salmonella)
allR	is homologous to	allR(Salmonella)
acrB	is homologous to	acrB(Salmonella)
cyoE	is homologous to	cyoE(Salmonella)
ispA	is homologous to	ispA(Salmonella)
yajO	is homologous to	yajO(Salmonella)
ribD	is homologous to	ribD(Salmonella)
tgt	is homologous to	tgt(Salmonella)
pdxK	is homologous to	pdxK(Salmonella)
nuoJ	is homologous to	nuoJ(Salmonella)
yejB	is homologous to	yejB(Salmonella)
proA	is homologous to	proA(Salmonella)
cysA	is homologous to	cysA(Salmonella)
nlpD	is homologous to	nlpD(Salmonella)
prmC	is homologous to	prmC(Salmonella)
ilvI	is homologous to	ilvI(Salmonella)
ilvD	is homologous to	ilvD(Salmonella)
yddE	is homologous to	yddE(Salmonella)
qorA	is homologous to	qorA(Salmonella)
argD	is homologous to	argD(Salmonella)
flhA	is homologous to	flhA(Salmonella)
flhB	is homologous to	flhB(Salmonella)
recQ	is homologous to	recQ(Salmonella)
murI	is homologous to	murI(Salmonella)
lapC	is homologous to	lapC(Salmonella)
ldtA	is homologous to	ldtA(Salmonella)
slyA	is homologous to	slyA(Salmonella)
rimK	is homologous to	rimK(Salmonella)
prc	is homologous to	prc(Salmonella)
eptB	is homologous to	eptB(Salmonella)
glnB	is homologous to	glnB(Salmonella)
cspC	is homologous to	cspC(Salmonella)
cspA	is homologous to	cspA(Salmonella)
prfC	is homologous to	prfC(Salmonella)
nrdI	is homologous to	nrdI(Salmonella)
nrdH	is homologous to	nrdH(Salmonella)
bglX	is homologous to	bglX(Salmonella)
dnaK	is homologous to	dnaK(Salmonella)
moeA	is homologous to	moeA(Salmonella)
prpC	is homologous to	prpC(Salmonella)
prpB	is homologous to	prpB(Salmonella)
era	is homologous to	era(Salmonella)
apaG	is homologous to	apaG(Salmonella)
yaaJ	is homologous to	yaaJ(Salmonella)
yaaA	is homologous to	yaaA(Salmonella)
fhuD	is homologous to	fhuD(Salmonella)
yadH	is homologous to	yadH(Salmonella)
ftsZ	is homologous to	ftsZ(Salmonella)
murG	is homologous to	murG(Salmonella)
rsmH	is homologous to	rsmH(Salmonella)
ybaB	is homologous to	ybaB(Salmonella)
rpoA	is homologous to	rpoA(Salmonella)
rpsH	is homologous to	rpsH(Salmonella)
rpsE	is homologous to	rpsE(Salmonella)
rpsC	is homologous to	rpsC(Salmonella)
rpsL	is homologous to	rpsL(Salmonella)
rpmI	is homologous to	rpmI(Salmonella)
rpmG	is homologous to	rpmG(Salmonella)
rplT	is homologous to	rplT(Salmonella)
rplK	is homologous to	rplK(Salmonella)
ndk	is homologous to	ndk(Salmonella)
fis	is homologous to	fis(Salmonella)
acpP	is homologous to	acpP(Salmonella)
pgk	is homologous to	pgk(Salmonella)
rluD	is homologous to	rluD(Salmonella)
pyrG	is homologous to	pyrG(Salmonella)
fnr	is homologous to	fnr(Salmonella)
crp	is homologous to	crp(Salmonella)
marR	is homologous to	marR(Salmonella)
lrp	is homologous to	lrp(Salmonella)
corA	is homologous to	corA(Salmonella)
rpoC	is homologous to	rpoC(Salmonella)
metR	is homologous to	metR(Salmonella)
hdfR	is homologous to	hdfR(Salmonella)
cra	is homologous to	cra(Salmonella)
trpS	is homologous to	trpS(Salmonella)
rhlB	is homologous to	rhlB(Salmonella)
yjeM	is homologous to	yjeM(Salmonella)
upp	is homologous to	upp(Salmonella)
marC	is homologous to	marC(Salmonella)
ubiE	is homologous to	ubiE(Salmonella)
gltX	is homologous to	gltX(Salmonella)
trpB	is homologous to	trpB(Salmonella)
trkA	is homologous to	trkA(Salmonella)
sapB	is homologous to	sapB(Salmonella)
hisM	is homologous to	hisM(Salmonella)
parE	is homologous to	parE(Salmonella)
gyrB	is homologous to	gyrB(Salmonella)
fadA	is homologous to	fadA(Salmonella)
nanT	is homologous to	nanT(Salmonella)
smpB	is homologous to	smpB(Salmonella)
fliA	is homologous to	fliA(Salmonella)
glyA	is homologous to	glyA(Salmonella)
secE	is homologous to	secE(Salmonella)
fabG	is homologous to	fabG(Salmonella)
rnhB	is homologous to	rnhB(Salmonella)
rpsT	is homologous to	rpsT(Salmonella)
rpmB	is homologous to	rpmB(Salmonella)
rplA	is homologous to	rplA(Salmonella)
rplS	is homologous to	rplS(Salmonella)
bfd	is homologous to	bfd(Salmonella)
pyrB	is homologous to	pyrB(Salmonella)
skp	is homologous to	skp(Salmonella)
nuoC	is homologous to	nuoC(Salmonella)
nuoG	is homologous to	nuoG(Salmonella)
mutS	is homologous to	mutS(Salmonella)
rplL	is homologous to	rplL(Salmonella)
mscL	is homologous to	mscL(Salmonella)
rplJ	is homologous to	rplJ(Salmonella)
prmB	is homologous to	prmB(Salmonella)
brnQ	is homologous to	brnQ(Salmonella)
recO	is homologous to	recO(Salmonella)
lepA	is homologous to	lepA(Salmonella)
crr	is homologous to	crr(Salmonella)
lepB	is homologous to	lepB(Salmonella)
pth	is homologous to	pth(Salmonella)
psiE	is homologous to	psiE(Salmonella)
gpt	is homologous to	gpt(Salmonella)
prs	is homologous to	prs(Salmonella)
adk	is homologous to	adk(Salmonella)
ppx	is homologous to	ppx(Salmonella)
gpp	is homologous to	gpp(Salmonella)
bioP	is homologous to	bioP(Salmonella)
yigI	is homologous to	yigI(Salmonella)
plsC	is homologous to	plsC(Salmonella)
yceD	is homologous to	yceD(Salmonella)
ahpC	is homologous to	ahpC(Salmonella)
yajD	is homologous to	yajD(Salmonella)
ubiX	is homologous to	ubiX(Salmonella)
stpA	is homologous to	stpA(Salmonella)
hns	is homologous to	hns(Salmonella)
sulA	is homologous to	sulA(Salmonella)
ihfA	is homologous to	ihfA(Salmonella)
hupB	is homologous to	hupB(Salmonella)
hupA	is homologous to	hupA(Salmonella)
hisH	is homologous to	hisH(Salmonella)
hisF	is homologous to	hisF(Salmonella)
pldA	is homologous to	pldA(Salmonella)
hfq	is homologous to	hfq(Salmonella)
nirD	is homologous to	nirD(Salmonella)
hemC	is homologous to	hemC(Salmonella)
hemA	is homologous to	hemA(Salmonella)
dnaB	is homologous to	dnaB(Salmonella)
gloA	is homologous to	gloA(Salmonella)
glnA	is homologous to	glnA(Salmonella)
gpsA	is homologous to	gpsA(Salmonella)
gapA	is homologous to	gapA(Salmonella)
fliG	is homologous to	fliG(Salmonella)
flgG	is homologous to	flgG(Salmonella)
flgE	is homologous to	flgE(Salmonella)
flgD	is homologous to	flgD(Salmonella)
flgC	is homologous to	flgC(Salmonella)
exbB	is homologous to	exbB(Salmonella)
fusA	is homologous to	fusA(Salmonella)
dnaQ	is homologous to	dnaQ(Salmonella)
dnaJ	is homologous to	dnaJ(Salmonella)
udp	is homologous to	udp(Salmonella)
dapF	is homologous to	dapF(Salmonella)
ddlA	is homologous to	ddlA(Salmonella)
cysK	is homologous to	cysK(Salmonella)
hemN	is homologous to	hemN(Salmonella)
clpP	is homologous to	clpP(Salmonella)
groS	is homologous to	groS(Salmonella)
groL	is homologous to	groL(Salmonella)
ftsP	is homologous to	ftsP(Salmonella)
atpC	is homologous to	atpC(Salmonella)
aroF	is homologous to	aroF(Salmonella)
apaH	is homologous to	apaH(Salmonella)
cyaA	is homologous to	cyaA(Salmonella)
ilvE	is homologous to	ilvE(Salmonella)
alr	is homologous to	alr(Salmonella)
yciA	is homologous to	yciA(Salmonella)
bcsA	is homologous to	bcsA(Salmonella)
bcsB	is homologous to	bcsB(Salmonella)
glk	is homologous to	glk(Salmonella)
hisA	is homologous to	hisA(Salmonella)
hisD	is homologous to	hisD(Salmonella)
hisB	is homologous to	hisB(Salmonella)
rffG	is homologous to	rffG(Salmonella)
tdcB	is homologous to	tdcB(Salmonella)
yihY	is homologous to	yihY(Salmonella)
pyrF	is homologous to	pyrF(Salmonella)
aroA	is homologous to	aroA(Salmonella)
pyrC	is homologous to	pyrC(Salmonella)
oppA	is homologous to	oppA(Salmonella)
ushA	is homologous to	ushA(Salmonella)
pabA	is homologous to	pabA(Salmonella)
dadX	is homologous to	dadX(Salmonella)
araD	is homologous to	araD(Salmonella)
rpoB	is homologous to	rpoB(Salmonella)
cheW	is homologous to	cheW(Salmonella)
sodC	is homologous to	sodC(Salmonella)
purR	is homologous to	purR(Salmonella)
gshA	is homologous to	gshA(Salmonella)
pck	is homologous to	pck(Salmonella)
galS	is homologous to	galS(Salmonella)
malG	is homologous to	malG(Salmonella)
hpf	is homologous to	hpf(Salmonella)
uvrC	is homologous to	uvrC(Salmonella)
ilvC	is homologous to	ilvC(Salmonella)
nrdA	is homologous to	nrdA(Salmonella)
metH	is homologous to	metH(Salmonella)
gmk	is homologous to	gmk(Salmonella)
flgF	is homologous to	flgF(Salmonella)
gdhA	is homologous to	gdhA(Salmonella)
pgi	is homologous to	pgi(Salmonella)
ubiC	is homologous to	ubiC(Salmonella)
plsB	is homologous to	plsB(Salmonella)
dinF	is homologous to	dinF(Salmonella)
zur	is homologous to	zur(Salmonella)
ghxP	is homologous to	ghxP(Salmonella)
actP	is homologous to	actP(Salmonella)
nrfA	is homologous to	nrfA(Salmonella)
nrfB	is homologous to	nrfB(Salmonella)
nrfD	is homologous to	nrfD(Salmonella)
nrfG	is homologous to	nrfG(Salmonella)
gltP	is homologous to	gltP(Salmonella)
fdhF	is homologous to	fdhF(Salmonella)
dcuS	is homologous to	dcuS(Salmonella)
yjdC	is homologous to	yjdC(Salmonella)
dsbD	is homologous to	dsbD(Salmonella)
blc	is homologous to	blc(Salmonella)
psd	is homologous to	psd(Salmonella)
nnr	is homologous to	nnr(Salmonella)
tsaE	is homologous to	tsaE(Salmonella)
hflX	is homologous to	hflX(Salmonella)
nsrR	is homologous to	nsrR(Salmonella)
rlmB	is homologous to	rlmB(Salmonella)
yjiJ	is homologous to	yjiJ(Salmonella)
yjiN	is homologous to	yjiN(Salmonella)
mrr	is homologous to	mrr(Salmonella)
yjiA	is homologous to	yjiA(Salmonella)
tsr	is homologous to	tsr(Salmonella)
opgB	is homologous to	opgB(Salmonella)
dnaC	is homologous to	dnaC(Salmonella)
yjjP	is homologous to	yjjP(Salmonella)
yjfP	is homologous to	yjfP(Salmonella)
ulaD	is homologous to	ulaD(Salmonella)
ulaE	is homologous to	ulaE(Salmonella)
ulaF	is homologous to	ulaF(Salmonella)
rimI	is homologous to	rimI(Salmonella)
rpsR	is homologous to	rpsR(Salmonella)
rplI	is homologous to	rplI(Salmonella)
deoC	is homologous to	deoC(Salmonella)
deoD	is homologous to	deoD(Salmonella)
ytjC	is homologous to	ytjC(Salmonella)
fbp	is homologous to	fbp(Salmonella)
creB	is homologous to	creB(Salmonella)
creC	is homologous to	creC(Salmonella)
yjtD	is homologous to	yjtD(Salmonella)
arcB	is homologous to	arcB(Salmonella)
tabA	is homologous to	tabA(Salmonella)
valS	is homologous to	valS(Salmonella)
pepA	is homologous to	pepA(Salmonella)
idnK	is homologous to	idnK(Salmonella)
ahr	is homologous to	ahr(Salmonella)
yeeN	is homologous to	yeeN(Salmonella)
yedE	is homologous to	yedE(Salmonella)
nhaA	is homologous to	nhaA(Salmonella)
ileS	is homologous to	ileS(Salmonella)
rihC	is homologous to	rihC(Salmonella)
dapB	is homologous to	dapB(Salmonella)
caiC	is homologous to	caiC(Salmonella)
caiT	is homologous to	caiT(Salmonella)
yaaU	is homologous to	yaaU(Salmonella)
kefF	is homologous to	kefF(Salmonella)
kefC	is homologous to	kefC(Salmonella)
folA	is homologous to	folA(Salmonella)
lptD	is homologous to	lptD(Salmonella)
rluA	is homologous to	rluA(Salmonella)
polB	is homologous to	polB(Salmonella)
thiP	is homologous to	thiP(Salmonella)
sgrR	is homologous to	sgrR(Salmonella)
ddlB	is homologous to	ddlB(Salmonella)
secA	is homologous to	secA(Salmonella)
guaC	is homologous to	guaC(Salmonella)
aceF	is homologous to	aceF(Salmonella)
lpd	is homologous to	lpd(Salmonella)
acnB	is homologous to	acnB(Salmonella)
speD	is homologous to	speD(Salmonella)
speE	is homologous to	speE(Salmonella)
cueO	is homologous to	cueO(Salmonella)
can	is homologous to	can(Salmonella)
panC	is homologous to	panC(Salmonella)
panB	is homologous to	panB(Salmonella)
gluQ	is homologous to	gluQ(Salmonella)
sfsA	is homologous to	sfsA(Salmonella)
mrcB	is homologous to	mrcB(Salmonella)
fhuA	is homologous to	fhuA(Salmonella)
thrA	is homologous to	thrA(Salmonella)
dapD	is homologous to	dapD(Salmonella)
ispU	is homologous to	ispU(Salmonella)
lpxB	is homologous to	lpxB(Salmonella)
arfB	is homologous to	arfB(Salmonella)
trmO	is homologous to	trmO(Salmonella)
yafC	is homologous to	yafC(Salmonella)
yafS	is homologous to	yafS(Salmonella)
yafV	is homologous to	yafV(Salmonella)
fadE	is homologous to	fadE(Salmonella)
pepD	is homologous to	pepD(Salmonella)
yahN	is homologous to	yahN(Salmonella)
proC	is homologous to	proC(Salmonella)
ppnP	is homologous to	ppnP(Salmonella)
sbcD	is homologous to	sbcD(Salmonella)
phoR	is homologous to	phoR(Salmonella)
queA	is homologous to	queA(Salmonella)
secD	is homologous to	secD(Salmonella)
nusB	is homologous to	nusB(Salmonella)
dxs	is homologous to	dxs(Salmonella)
yajR	is homologous to	yajR(Salmonella)
cyoC	is homologous to	cyoC(Salmonella)
ampG	is homologous to	ampG(Salmonella)
clpX	is homologous to	clpX(Salmonella)
mdlA	is homologous to	mdlA(Salmonella)
mdlB	is homologous to	mdlB(Salmonella)
tesB	is homologous to	tesB(Salmonella)
maa	is homologous to	maa(Salmonella)
apt	is homologous to	apt(Salmonella)
aes	is homologous to	aes(Salmonella)
gsk	is homologous to	gsk(Salmonella)
leuS	is homologous to	leuS(Salmonella)
hscC	is homologous to	hscC(Salmonella)
rihA	is homologous to	rihA(Salmonella)
ubiF	is homologous to	ubiF(Salmonella)
asnB	is homologous to	asnB(Salmonella)
nagC	is homologous to	nagC(Salmonella)
nagB	is homologous to	nagB(Salmonella)
nagE	is homologous to	nagE(Salmonella)
glnS	is homologous to	glnS(Salmonella)
ybbP	is homologous to	ybbP(Salmonella)
pgm	is homologous to	pgm(Salmonella)
selU	is homologous to	selU(Salmonella)
allA	is homologous to	allA(Salmonella)
speF	is homologous to	speF(Salmonella)
ybbY	is homologous to	ybbY(Salmonella)
fdrA	is homologous to	fdrA(Salmonella)
lpxH	is homologous to	lpxH(Salmonella)
cysS	is homologous to	cysS(Salmonella)
sdhA	is homologous to	sdhA(Salmonella)
sucA	is homologous to	sucA(Salmonella)
sucD	is homologous to	sucD(Salmonella)
ybgC	is homologous to	ybgC(Salmonella)
tolA	is homologous to	tolA(Salmonella)
zitB	is homologous to	zitB(Salmonella)
ybdG	is homologous to	ybdG(Salmonella)
fepA	is homologous to	fepA(Salmonella)
modF	is homologous to	modF(Salmonella)
ybhA	is homologous to	ybhA(Salmonella)
pgl	is homologous to	pgl(Salmonella)
cstA	is homologous to	cstA(Salmonella)
bioF	is homologous to	bioF(Salmonella)
ybdL	is homologous to	ybdL(Salmonella)
ybdO	is homologous to	ybdO(Salmonella)
ybhL	is homologous to	ybhL(Salmonella)
rna	is homologous to	rna(Salmonella)
citT	is homologous to	citT(Salmonella)
clsB	is homologous to	clsB(Salmonella)
ybhR	is homologous to	ybhR(Salmonella)
citC	is homologous to	citC(Salmonella)
dpiB	is homologous to	dpiB(Salmonella)
dpiA	is homologous to	dpiA(Salmonella)
dcuC	is homologous to	dcuC(Salmonella)
lipB	is homologous to	lipB(Salmonella)
dinG	is homologous to	dinG(Salmonella)
ybiB	is homologous to	ybiB(Salmonella)
ybiI	is homologous to	ybiI(Salmonella)
rlmF	is homologous to	rlmF(Salmonella)
ybiO	is homologous to	ybiO(Salmonella)
opgE	is homologous to	opgE(Salmonella)
ybiT	is homologous to	ybiT(Salmonella)
gsiB	is homologous to	gsiB(Salmonella)
